한자,뜻,음
理,다스리다,리
李,오얏나무,리
李,성씨,리
利,이롭다,리
里,마을,리
燐,도깨비불,린
鱗,비늘,린
吝,아끼다,린
躪,짓밟다,린
麟,기린,린
隣,이웃,린
淋,임질,림
臨,임하다,림
林,수풀,림
粒,낟알,립
笠,삿갓,립
立,서다,립
魔,마귀,마
摩,문지르다,마
痲,저리다,마
磨,갈다,마
麻,삼,마
馬,말,마
寞,고요하다,막
膜,꺼풀,막
膜,막,막
漠,넓다,막
莫,없다,막
幕,장막,막
彎,굽다,만
輓,끌다,만
輓,애도하다,만
挽,당기다,만
蔓,덩굴,만
卍,만,만
饅,만두,만
鰻,뱀장어,만
瞞,속이다,만
娩,낳다,만
灣,물굽이,만
蠻,오랑캐,만
慢,거만하다,만
漫,흩어지다,만
晩,늦다,만
滿,차다,만
萬,일만,만
沫,물거품,말
襪,버선,말
抹,지우다,말
靺,말갈,말
末,끝,말
芒,가끄라기,망
惘,멍하다,망
網,그물,망
忙,바쁘다,망
茫,아득하다,망
罔,없다,망
忘,잊다,망
妄,망령되다,망
亡,망하다,망
望,바라다,망
邁,가다,매
煤,그을음,매
罵,꾸짖다,매
昧,어둡다,매
呆,어리석다,매
寐,자다,매
枚,낱,매
魅,매혹하다,매
埋,묻다,매
梅,매실나무,매
媒,중매,매
妹,누이,매
買,사다,매
賣,팔다,매
每,매양,매
貊,맥국,맥
麥,보리,맥
脈,줄기,맥
萌,움,맹
孟,맏이,맹
盟,맹세,맹
猛,사납다,맹
盲,소경,맹
盲,눈이 멀다,맹
覓,찾다,멱
眄,곁눈질하다,면
麪,국수,면
緬,멀다,면
棉,목화,면
冕,면류관,면
沔,물이름,면
沔,빠지다,면
俛,힘쓰다,면
俛,구푸리다,면
免,면하다,면
綿,솜,면
眠,자다,면
勉,힘쓰다,면
面,낯,면
蔑,업신여기다,멸
滅,꺼지다,멸
滅,멸하다,멸
皿,그릇,명
螟,멸구,명
溟,바다,명
酩,술에 취하다,명
暝,저물다,명
冥,어둡다,명
銘,새기다,명
鳴,울다,명
明,밝다,명
命,목숨,명
名,이름,명
袂,소매,몌
摸,더듬다,모
糢,모호하다,모
耗,소모하다,모
牡,수컷,모
謨,꾀,모
茅,띠,모
帽,모자,모
牟,성씨,모
牟,보리,모
矛,창,모
募,모으다,모
募,뽑다,모
冒,무릅쓰다,모
某,아무,모
侮,업신여기다,모
暮,저물다,모
慕,그리다,모
謀,꾀,모
貌,모양,모
模,본뜨다,모
毛,털,모
母,어미,모
沐,머리감다,목
穆,화목하다,목
睦,화목하다,목
牧,치다,목
目,눈,목
木,나무,목
歿,죽다,몰
沒,빠지다,몰
夢,꿈,몽
蒙,어둡다,몽
猫,고양이,묘
描,그리다,묘
杳,아득하다,묘
渺,아득하다,묘
渺,물이 질펀하다,묘
昴,별이름,묘
苗,싹,묘
廟,사당,묘
卯,토끼,묘
妙,묘하다,묘
墓,무덤,묘
蕪,거칠다,무
毋,말다,무
巫,무당,무
誣,속이다,무
撫,어루만지다,무
憮,어루만지다,무
拇,엄지손가락,무
畝,밭이랑,무
畝,밭이랑,묘
霧,안개,무
戊,천간,무
茂,무성하다,무
貿,무역하다,무
舞,춤추다,무
武,호반,무
務,힘쓰다,무
無,없다,무
墨,먹,묵
默,잠잠하다,묵
蚊,모기,문
汶,물이름,문
紊,어지럽다,문
紊,문란하다,문
紋,무늬,문
聞,듣다,문
文,글월,문
問,묻다,문
門,문,문
勿,말,물
物,물건,물
靡,쓰러지다,미
媚,아첨하다,미
媚,예쁘다,미
薇,장미,미
彌,미륵,미
彌,오래다,미
眉,눈썹,미
迷,미혹하다,미
尾,꼬리,미
微,작다,미
味,맛,미
未,아니다,미
米,쌀,미
美,아름답다,미
悶,답답하다,민
閔,성씨,민
玟,아름다운 돌,민
珉,옥돌,민
旻,하늘,민
旼,화하다,민
憫,민망하다,민
敏,민첩하다,민
民,백성,민
謐,고요하다,밀
蜜,꿀,밀
密,빽빽하다,밀
駁,논박하다,박
搏,두드리다,박
箔,발,박
剝,벗기다,박
樸,순박하다,박
縛,얽다,박
粕,술지게미,박
撲,치다,박
膊,팔뚝,박
珀,호박,박
舶,배,박
泊,머무르다,박
泊,배대다,박
薄,엷다,박
迫,핍박하다,박
拍,치다,박
博,넓다,박
朴,성씨,박
頒,나누다,반
攀,더위 잡다,반
畔,밭두둑,반
礬,백반,반
拌,버리다,반
蟠,서리다,반
斑,아롱지다,반
絆,얽어매다,반
槃,쟁반,반
磻,반계,반
磻,반계,번
潘,성씨,반
搬,옮기다,반
返,돌이키다,반
叛,배반하다,반
伴,짝,반
般,가지,반
般,일반,반
飯,밥,반
盤,소반,반
班,나누다,반
反,돌이키다,반
反,돌아오다,반
半,반,반
魃,가물다,발
勃,노하다,발
撥,다스리다,발
潑,물을 뿌리다,발
跋,밟다,발
醱,술을 괴다,발
渤,바다이름,발
鉢,바리때,발
拔,뽑다,발
髮,털,발
發,피다,발
肪,기름,방
枋,다목,방
幇,돕다,방
坊,동네,방
昉,밝다,방
榜,방을 붙이다,방
尨,삽살개,방
膀,오줌통,방
謗,헐뜯다,방
彷,헤매다,방
旁,곁,방
紡,길쌈,방
龐,높은 집,방
傍,곁,방
邦,나라,방
倣,본뜨다,방
芳,꽃답다,방
妨,방해하다,방
防,막다,방
房,방,방
訪,찾다,방
放,놓다,방
方,모,방
陪,모시다,배
湃,물결치다,배
胚,아기를 배다,배
徘,어정거리다,배
賠,물어 주다,배
俳,광대,배
裵,성씨,배
杯,잔,배
輩,무리,배
排,밀치다,배
培,북돋다,배
配,나누다,배
配,짝,배
背,등,배
拜,절,배
倍,곱,배
魄,넋,백
帛,비단,백
柏,측백나무,백
伯,맏이,백
百,일백,백
白,흰,백
蕃,우거지다,번
藩,울타리,번
煩,번거롭다,번
飜,번역하다,번
繁,번성하다,번
番,차례,번
筏,뗏목,벌
閥,문벌,벌
罰,벌하다,벌
伐,치다,벌
氾,넘치다,벌
帆,돛,벌
泛 ,뜨다,범
梵,불경,범
汎,넓다,범
范,성씨,범
凡,무릇,범
犯,범하다,범
範,법,범
法,법,법
璧,구슬,벽
癖,버릇,벽
擘,엄지손가락,벽
闢,열다,벽
劈,쪼개다,벽
僻,궁벽하다,벽
碧,푸르다,벽
壁,벽,벽
弁,고깔,변
卞,성씨,변
辨,분별하다,변
辯,말씀,변
邊,가,변
變,변하다,변
瞥,눈 깜짝하다,별
鼈,자라,별
別,다르다,별
別,나누다,별
餠,떡,병
甁,병,병
昺,밝다,병
昞,밝다,병
炳,불꽃,병
倂,아우르다,병
柄,자루,병
秉,잡다,병
竝,나란하다,병
屛,병풍,병
丙,남녘,병
兵,병사,병
病,병,병
洑,보,보
洑,스며흐르다,복
菩,보살,보
堡,작은 성,보
輔,돕다,보
潽,물이름,보
甫,크다,보
補,기울다,보
譜,족보,보
普,넓다,보
報,갚다,보
報,알리다,보
步,걸음,보
寶,보배,보
保,지키다,보
匐,기다,보
輻,바퀴살,보
輻,바퀴살,폭
鰒,전복,복
僕,종,복
馥,향기,복
卜,점,복
覆,다시,복
覆,덮다,부
腹,배,복
複,겹치다,복
伏,엎드리다,복
復,회복하다,복
復,다시,부
福,복,복
服,옷,복
本,근본,복
棒,막대,봉
捧,받들다,봉
烽,봉화,봉
鋒,칼날,봉
縫,꿰매다,봉
俸,녹,봉
蓬,쑥,봉
蜂,벌,봉
逢,만나다,봉
鳳,봉황,봉
峯,봉우리,봉
封,봉하다,봉
奉,받들다,봉
俯,구부리다,부
斧,도끼,부
訃,부고,부
埠,부두,부
駙,부마,부
賻,부의,부
咐,분부하다,부
咐,불다,부
孵,알을 까다,부
芙,연꽃,부
腑,육부,부
剖,쪼개다,부
釜,가마,부
膚,살갗,부
傅,스승,부
阜,언덕,부
敷,펴다,부
赴,다다르다,부
赴,가다,부
